addr                 acts   active_ms   name
[0]                  40     2.954       Dataflow
[0, 1]               2      0.000       Input
[0, 2]               2      0.059       FlatMap
[0, 3]               3      0.004       Consolidate
[0, 4]               3      0.001       AsCollection
[0, 5]               2      0.000       Input
[0, 6]               2      0.085       FlatMap
[0, 7]               3      0.702       Consolidate
[0, 8]               3      0.041       AsCollection
[0, 9]               3      0.002       FlatMap
[0, 10]              4      0.002       Consolidate
[0, 11]              4      0.001       AsCollection
[0, 12]              3      0.076       FlatMap
[0, 13]              4      0.622       ArrangeByKey
[0, 14]              37     1.199       Iterative
[0, 14, 1]           4      0.003       FlatMap
[0, 14, 2]           4      0.001       Enter
[0, 14, 3]           14     0.002       Feedback
[0, 14, 4]           14     0.009       FlatMap
[0, 14, 5]           17     0.017       ArrangeBySelf
[0, 14, 6]           20     0.398       Join
[0, 14, 7]           16     0.004       Concatenate
[0, 14, 8]           16     0.036       FlatMap
[0, 14, 9]           22     0.498       Arrange: ThresholdTotal
[0, 14, 10]          17     0.140       ThresholdTotal
[0, 14, 11]          14     0.003       ResultsIn
[0, 15]              14     0.003       Leave
[0, 16]              14     0.008       FlatMap
[0, 17]              17     0.018       Consolidate
[0, 18]              3      0.004       AsCollection
[0, 19]              3      0.003       FlatMap
[0, 20]              3      0.005       FlatMap
[0, 21]              3      0.008       FlatMap
[0, 22]              5      0.004       Consolidate
[0, 23]              3      0.001       AsCollection
[0, 24]              3      0.001       InspectBatch
